site,fine_depositional_score,depth,clay_pct,silt_pct,sand_pct,water_pct,d50,fe_ppm,carbon_pct
9,5.703366,37.0,53.6,46.5,0.0,74.98327759197323,3.507,105704.55,2.78725613208388
3,5.693138,32.0,50.2,49.7,0.3,78.97503285151116,3.878,99537.98,3.11205305305647
7,4.679716,34.0,54.5,45.4,0.0,73.71702637889688,3.392,90703.67,2.55339826644755
5,4.54115,21.0,60.3,39.8,0.0,76.28205128205127,2.797,68429.48,2.38031678807746
21,4.40664,29.0,47.8,51.9,0.3,80.70429329474193,4.215,93302.8,2.70925848007279
6,4.120348,36.0,50.0,49.6,0.3,74.80457005411905,3.901,98759.42,2.50272184776152
10,3.603055,26.0,46.8,52.7,0.6,75.85139318885449,4.42,90688.96,2.76091915038656
4,3.263746,30.0,42.8,55.6,1.6,77.91313559322035,5.145,98957.07,3.02038426758324
1,3.081513,28.0,42.9,57.0,0.2,77.28794642857143,5.009,85781.23,2.77128958451421
16,-0.357468,24.0,39.8,60.3,0.0,69.14285714285714,5.323,68609.91,1.88812675676479
12,-0.802136,13.0,42.9,55.5,1.6,72.11155378486055,5.313,41665.52,2.4279429091402
8,-0.969829,17.0,35.9,60.7,3.4,75.9765625,7.428,85950.38,2.67178582488523
19,-1.620301,13.0,36.2,63.6,0.3,70.25934658134051,6.512,50615.16,2.15977783444494
23,-1.640878,11.0,36.8,62.5,0.7,71.72338884866039,6.173,49530.73,2.10978054778264
15,-2.326864,9.0,32.6,67.4,0.0,69.48853615520282,6.646,54584.78,1.87518769889716
14,-4.904662,8.0,27.3,72.7,0.0,63.903281519861835,8.038,47005.71,1.5792445086927
20,-7.983143,9.0,25.6,55.6,4.1,56.68129238133227,11.08,43801.4,2.47729759888477
13,-8.211131,10.0,32.4,64.7,3.0,44.77892756349953,8.165,56137.22,1.16593315781985
2,-10.276258,30.0,34.5,59.6,6.0,36.43724696356275,7.198,30993.01,1.56219866793942
